D_w_x_y_z		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	
D_1_2_3_4	1	24	25	29	31	21	33	17	37	26	41	28	44	47	8	2	43	6	10	30	46	45	42	35	36	38	40	32	39	49	48	23	22	1	3	4	18	16	5	27	12	11	9	7	13	15	34	19	20	14	
D_1_2_3_4	2	41	10	49	38	33	28	12	17	18	43	6	44	22	31	2	8	29	35	32	40	39	42	45	46	47	36	27	24	25	3	4	5	7	9	11	13	14	15	16	21	23	48	26	19	34	20	30	1	37	
D_1_2_3_4	3	49	38	33	41	2	22	4	40	10	11	13	3	16	29	31	32	35	39	28	43	44	45	47	36	27	24	17	8	9	12	14	25	15	7	6	18	19	20	21	23	48	1	5	46	26	37	34	30	42	
D_1_2_3_4	4	49	38	40	22	32	33	18	15	14	12	11	13	7	4	3	41	42	29	43	44	45	36	46	47	31	30	28	24	25	1	23	21	20	2	19	6	27	8	16	10	9	26	5	17	37	35	34	48	39	
D_1_2_3_4	5	15	14	13	49	40	35	32	42	27	45	22	38	18	39	11	9	7	12	1	36	2	34	33	3	41	30	4	43	44	6	48	23	21	20	8	46	16	10	19	47	0	31	29	28	26	25	17	5	37	
D_1_2_3_4	6	13	34	20	35	16	15	14	39	11	40	27	42	1	9	4	3	7	45	43	38	36	29	46	33	32	31	30	24	49	26	2	5	6	28	18	12	21	22	23	48	25	19	37	17	10	41	8	44	47	
D_1_2_3_4	7	1	34	20	39	35	30	27	48	23	19	15	14	42	46	9	7	5	13	47	43	37	36	3	4	32	31	29	28	6	26	25	8	45	21	40	18	17	16	11	12	24	44	0	38	33	22	10	2	41	
D_1_2_3_4	8	37	34	26	24	35	30	29	27	25	48	23	21	20	19	39	1	47	5	8	36	3	32	31	4	28	46	14	9	45	42	44	12	43	17	16	15	13	7	40	41	0	33	22	18	11	10	6	2	38	
D_1_2_3_4	9	5	26	37	24	36	34	31	30	29	28	25	23	20	17	43	19	1	46	47	8	44	16	2	32	3	4	6	7	42	10	22	21	12	18	45	48	41	40	39	0	35	33	27	15	14	13	11	9	38	
D_1_2_3_4	10	37	17	19	26	28	29	30	31	43	44	48	8	36	6	5	46	47	2	10	34	25	35	32	41	33	24	22	21	20	18	16	42	12	11	9	45	1	23	39	40	0	27	15	14	13	7	4	3	38	
D_1_2_3_4	11	24	25	29	31	21	32	33	17	37	26	41	28	8	43	6	44	2	47	10	40	42	38	36	35	45	46	30	39	49	48	22	3	4	5	18	16	15	27	12	11	9	1	7	13	34	19	20	23	14	
D_1_2_3_4	12	2	10	41	49	36	38	28	18	33	6	44	31	22	17	16	32	29	39	40	42	43	45	46	47	35	27	24	25	3	4	5	7	8	9	11	12	13	15	21	23	48	14	37	26	34	19	20	30	1	
D_1_2_3_4	13	49	33	41	38	4	22	2	40	10	11	13	3	15	16	32	29	30	31	36	35	28	39	44	45	47	27	24	25	6	7	8	9	14	17	12	18	19	20	21	23	48	37	26	42	43	5	46	1	34	
D_1_2_3_4	14	49	38	40	32	22	33	18	15	14	13	11	12	7	45	4	3	41	27	30	42	43	44	39	36	46	47	24	25	1	2	6	8	9	10	16	20	19	21	23	37	26	17	34	31	48	5	29	28	35	
D_1_2_3_4	15	7	14	13	49	40	35	42	27	45	23	22	38	18	15	39	11	9	12	1	36	2	34	33	32	41	30	3	43	4	5	48	6	21	20	10	46	16	44	19	47	0	31	29	28	26	25	17	8	37	
D_1_2_3_4	16	20	13	30	34	35	39	15	14	40	11	27	9	1	42	4	5	3	7	45	38	28	46	33	32	31	43	29	24	49	25	6	12	26	18	16	21	22	23	48	19	36	37	17	41	10	8	44	2	47	
D_1_2_3_4	17	1	34	20	39	37	35	27	48	23	21	19	14	42	46	5	9	7	13	47	43	3	36	4	32	31	30	29	28	6	26	25	8	45	40	18	17	16	15	11	12	24	44	0	38	33	22	10	2	41	
D_1_2_3_4	18	37	34	26	24	36	35	30	29	25	48	23	21	20	44	19	1	47	5	8	15	3	4	42	32	31	46	28	27	7	9	10	43	12	13	17	16	14	39	45	41	0	38	33	22	18	11	6	2	40	
D_1_2_3_4	19	26	37	24	36	34	31	30	29	28	25	48	20	17	43	19	47	1	5	46	8	44	35	2	32	3	4	6	42	23	22	21	10	45	18	12	16	41	40	39	0	33	27	15	14	13	11	9	7	38	
D_1_2_3_4	20	37	17	25	48	29	31	19	36	26	10	24	44	47	2	46	6	28	43	8	35	33	42	32	45	30	39	34	41	49	23	1	5	9	11	12	18	21	22	16	15	14	13	38	27	40	20	7	4	3	
D_1_2_3_4	21	10	24	26	25	31	22	33	17	29	12	41	28	8	47	2	6	44	43	38	36	35	42	32	45	46	30	40	37	39	49	48	21	3	4	5	18	16	15	27	11	9	1	7	14	19	34	20	23	13	
D_1_2_3_4	22	49	2	41	18	38	28	10	33	17	22	6	45	31	3	16	35	29	32	39	40	42	43	44	46	47	36	27	24	25	4	5	7	8	9	11	12	13	14	15	21	23	48	26	19	34	20	30	1	37	
D_1_2_3_4	23	49	33	38	22	32	18	16	15	14	11	13	40	41	4	3	2	10	39	29	44	45	46	36	47	31	30	28	24	17	25	23	21	20	6	19	7	27	12	9	8	1	5	43	26	37	35	34	48	42	
D_1_2_3_4	24	40	27	38	15	49	33	32	41	42	45	22	14	13	18	11	3	4	7	12	39	1	2	30	47	6	43	44	8	21	20	19	9	46	16	10	23	36	0	35	34	31	29	28	26	25	48	17	5	37	
D_1_2_3_4	25	7	14	13	49	40	35	34	42	27	23	38	18	45	15	39	11	9	4	1	36	2	3	33	32	41	30	28	5	43	44	48	6	22	21	20	46	16	12	19	47	0	31	29	26	25	17	10	8	37	
D_1_2_3_4	26	20	39	35	34	30	27	48	40	15	14	13	42	1	9	46	7	4	11	5	12	38	37	43	3	33	32	31	29	26	25	6	23	22	21	19	18	16	45	28	24	47	44	0	36	17	10	8	2	41	
D_1_2_3_4	27	1	34	20	21	39	19	26	27	30	48	23	9	7	35	5	37	42	31	29	28	25	36	43	32	24	45	17	16	15	14	13	12	11	46	8	6	4	3	47	44	40	0	38	33	22	18	10	2	41	
D_1_2_3_4	28	34	5	26	37	24	36	35	30	29	25	48	23	21	20	44	19	1	47	8	16	3	32	31	4	46	28	14	39	9	10	42	45	12	13	43	17	7	40	41	0	33	27	22	18	15	11	6	2	38	
D_1_2_3_4	29	37	26	31	30	29	25	48	20	19	36	17	16	43	24	5	44	8	46	1	2	6	47	35	34	32	3	28	42	12	23	22	21	45	10	41	18	39	40	0	33	27	15	14	13	11	9	7	4	38	
D_1_2_3_4	30	17	24	28	29	31	19	33	36	25	10	37	8	43	6	44	2	47	26	41	39	35	34	45	32	46	30	42	49	48	23	22	21	1	18	16	3	5	27	12	11	9	4	7	38	13	14	15	20	40	
D_1_2_3_4	31	41	10	24	29	31	22	33	17	38	25	12	28	8	43	6	2	47	39	37	44	36	35	45	32	46	42	40	49	26	3	4	5	9	11	27	16	15	21	23	48	18	19	34	14	13	20	7	30	1	
D_1_2_3_4	32	49	2	41	31	22	33	18	17	16	38	11	28	6	4	3	10	43	29	39	44	45	46	36	35	32	47	40	24	15	25	48	23	21	7	19	8	27	14	13	12	9	1	5	26	37	20	34	30	42	
D_1_2_3_4	33	49	33	38	40	11	22	32	18	15	14	12	13	41	4	3	10	39	28	44	45	36	46	31	47	30	29	27	24	25	2	7	8	9	17	16	19	20	21	23	35	37	26	42	43	6	5	48	1	34	
D_1_2_3_4	34	38	40	15	35	32	41	42	27	45	22	18	14	13	49	11	4	7	12	36	1	2	33	3	30	47	43	6	44	23	8	21	20	39	9	46	16	10	48	19	0	34	31	29	28	26	25	17	5	37	
D_1_2_3_4	35	7	14	13	49	42	35	34	27	39	18	45	15	40	11	9	3	4	38	1	36	2	33	32	31	30	43	28	44	25	48	23	22	21	5	19	6	16	46	12	20	47	0	37	29	26	17	10	8	41	
D_1_2_3_4	36	34	20	27	30	15	14	13	48	35	42	46	7	5	39	40	1	9	36	37	38	33	32	31	29	28	26	24	23	22	43	19	18	16	12	11	45	6	4	3	25	21	44	47	0	17	10	8	2	41	
D_1_2_3_4	37	1	34	26	24	37	35	30	29	27	48	23	42	21	20	19	7	5	9	39	6	47	36	3	4	32	31	16	43	15	14	8	25	17	46	45	44	13	28	41	40	0	33	22	18	12	11	10	2	38	
D_1_2_3_4	38	34	5	26	37	24	36	31	30	29	28	25	23	21	20	44	19	1	47	8	16	32	3	4	6	7	45	42	48	10	43	46	12	13	14	17	9	39	41	40	0	35	33	27	22	18	15	11	2	38	
